mouse_id,month,treatment,clade_volume,ln2volume
#281,m2,UV,9948.453934,13.28025662
#303,m2,UV,9969.208706,13.28326328
#263,m2,UV,9976.126963,13.28426411
#006,m2,UV,9989.963478,13.28626369
#006,m2,UV,10017.63651,13.29025455
#282,m2,UV,10031.47302,13.29224585
#974,m2,UV,10045.30954,13.2942344
#009,m2,UV,10100.65559,13.30216132
#289,m2,UV,10107.57385,13.30314912
#282,m2,UV,10121.41037,13.30512272
#009,m2,UV,10128.32862,13.3061085
#009,m2,UV,10169.83817,13.3120091
#009,m2,UV,10190.59294,13.31495038
#022,m2,UV,10232.10248,13.320815
#317,m2,UV,10239.02074,13.32179012
#131,m2,UV,10252.85725,13.32373839
#263,m2,UV,10266.69377,13.32568404
#006,m2,UV,10273.61203,13.32665588
#281,m2,UV,10280.53028,13.32762706
#006,m2,UV,10308.20331,13.33150528
#009,m2,UV,10308.20331,13.33150528
#263,m2,UV,10356.63111,13.33826717
#003,m2,UV,10370.46763,13.34019333
#317,m2,UV,10377.38588,13.34115545
#006,m2,UV,10391.2224,13.34307776
#970,m2,UV,10405.05891,13.34499751
#003,m2,UV,10411.97717,13.34595643
#317,m2,UV,10411.97717,13.34595643
#009,m2,UV,10425.81369,13.34787236
#131,m2,UV,10425.81369,13.34787236
#022,m2,UV,10432.73194,13.34882937
#970,m2,UV,10467.32323,13.35360493
#003,m2,UV,10474.24149,13.35455815
#009,m2,UV,10481.15974,13.35551074
#282,m2,UV,10515.75103,13.36026427
#303,m2,UV,10529.58754,13.36216131
#974,m2,UV,10529.58754,13.36216131
#974,m2,UV,10529.58754,13.36216131
#263,m2,UV,10557.26057,13.36594791
#282,m2,UV,10578.01534,13.36878135
#281,m2,UV,10591.85186,13.37066723
#006,m2,UV,10605.68837,13.37255064
#131,m2,UV,10640.27966,13.37724845
#282,m2,UV,10674.87095,13.38193101
#303,m2,UV,10688.70746,13.38379978
#022,m2,UV,10702.54398,13.38566614
#022,m2,UV,10723.29875,13.38846116
#263,m2,UV,10730.217,13.38939163
#282,m2,UV,10730.217,13.38939163
#006,m2,UV,10737.13526,13.3903215
#282,m2,UV,10750.97178,13.39217945
#263,m2,UV,10757.89003,13.39310753
#006,m2,UV,10764.80829,13.39403501
#009,m2,UV,10764.80829,13.39403501
#282,m2,UV,10764.80829,13.39403501
#003,m2,UV,10785.56306,13.39681387
#006,m2,UV,10799.39958,13.39866348
#281,m2,UV,10813.23609,13.40051072
#006,m2,UV,10827.07261,13.4023556
#009,m2,UV,10833.99086,13.40327716
#282,m2,UV,10833.99086,13.40327716
#022,m2,UV,10847.82738,13.40511851
#974,m2,UV,10847.82738,13.40511851
#003,m2,UV,10861.66389,13.40695751
#282,m2,UV,10868.58215,13.40787613
#974,m2,UV,10875.50041,13.40879416
#282,m2,UV,10882.41866,13.40971162
#006,m2,UV,10889.33692,13.41062849
#282,m2,UV,10896.25518,13.41154477
#131,m2,UV,10951.60124,13.4188542
#006,m2,UV,10958.51949,13.41976528
#282,m2,UV,10958.51949,13.41976528
#022,m2,UV,10993.11078,13.42431207
#263,m2,UV,10993.11078,13.42431207
#281,m2,UV,11013.86555,13.42703328
#003,m2,UV,11069.21161,13.43426485
#970,m2,UV,11076.12987,13.43516625
#289,m2,UV,11089.96638,13.43696737
#282,m2,UV,11096.88464,13.43786709
#131,m2,UV,11103.8029,13.43876624
#009,m2,UV,11117.63941,13.44056288
#974,m2,UV,11117.63941,13.44056288
#974,m2,UV,11138.39418,13.44325363
#009,m2,UV,11145.31244,13.44414944
#974,m2,UV,11172.98547,13.44772711
#291,m2,UV,11186.82198,13.44951262
#970,m2,UV,11193.74024,13.45040455
#006,m2,UV,11207.57676,13.45218676
#131,m2,UV,11207.57676,13.45218676
#009,m2,UV,11249.0863,13.4575202
#006,m2,UV,11276.75933,13.46106491
#009,m2,UV,11276.75933,13.46106491
#003,m2,UV,11290.59584,13.462834
#009,m2,UV,11290.59584,13.462834
#282,m2,UV,11339.02364,13.4690088
#009,m2,UV,11345.9419,13.46988876
#022,m2,UV,11345.9419,13.46988876
#282,m2,UV,11366.69667,13.47252543
#291,m2,UV,11366.69667,13.47252543
#003,m2,UV,11373.61493,13.47340325
#009,m2,UV,11373.61493,13.47340325
#282,m2,UV,11373.61493,13.47340325
#006,m2,UV,11387.45144,13.47515728
#974,m2,UV,11387.45144,13.47515728
#289,m2,UV,11428.96099,13.48040663
#009,m2,UV,11456.63402,13.48389562
#282,m2,UV,11456.63402,13.48389562
#006,m2,UV,11470.47053,13.48563695
#009,m2,UV,11470.47053,13.48563695
#281,m2,UV,11470.47053,13.48563695
#303,m2,UV,11477.38879,13.48650683
#291,m2,UV,11518.89833,13.49171512
#291,m2,UV,11532.73485,13.49344705
#003,m2,UV,11539.6531,13.49431223
#006,m2,UV,11601.91742,13.50207563
#003,m2,UV,11622.67219,13.50465418
#970,m2,UV,11622.67219,13.50465418
#006,m2,UV,11636.5087,13.50637065
#282,m2,UV,11643.42696,13.50722812
#022,m2,UV,11671.09999,13.51065292
#003,m2,UV,11726.44605,13.51747822
#006,m2,UV,11754.11908,13.5208788
#289,m2,UV,11754.11908,13.5208788
#263,m2,UV,11761.03734,13.52172769
#003,m2,UV,11781.79211,13.52427138
#303,m2,UV,11816.38339,13.52850092
#282,m2,UV,11830.21991,13.53018927
#303,m2,UV,11837.13817,13.53103271
#009,m2,UV,11850.97468,13.5327181
#003,m2,UV,11857.89294,13.53356006
#282,m2,UV,11857.89294,13.53356006
#289,m2,UV,11857.89294,13.53356006
#131,m2,UV,11906.32074,13.53944004
#974,m2,UV,11920.15725,13.54111565
#974,m2,UV,11927.07551,13.54195272
#006,m2,UV,11947.83028,13.54446103
#282,m2,UV,11954.74854,13.54529616
#009,m2,UV,11982.42157,13.54863188
#303,m2,UV,11982.42157,13.54863188
#970,m2,UV,11982.42157,13.54863188
#003,m2,UV,11996.25808,13.55029684
#974,m2,UV,12003.17634,13.55112861
#003,m2,UV,12017.01285,13.5527907
#009,m2,UV,12017.01285,13.5527907
#003,m2,UV,12030.84937,13.55445088
#282,m2,UV,12030.84937,13.55445088
#003,m2,UV,12044.68588,13.55610915
#131,m2,UV,12065.44065,13.55859299
#003,m2,UV,12100.03194,13.56272324
#022,m2,UV,12148.45974,13.56848579
#003,m2,UV,12169.21451,13.57094843
#974,m2,UV,12169.21451,13.57094843
#006,m2,UV,12183.05103,13.57258786
#282,m2,UV,12224.56057,13.57749499
#281,m2,UV,12231.47883,13.57831122
#006,m2,UV,12286.82489,13.58482453
#006,m2,UV,12328.33443,13.58969028
#289,m2,UV,12328.33443,13.58969028
#263,m2,UV,12349.0892,13.59211702
#303,m2,UV,12349.0892,13.59211702
#263,m2,UV,12356.00746,13.59292503
#009,m2,UV,12362.92572,13.59373258
#022,m2,UV,12390.59875,13.59695828
#003,m2,UV,12397.517,13.59776358
#317,m2,UV,12404.43526,13.59856843
#131,m2,UV,12445.9448,13.60338813
#003,m2,UV,12459.78132,13.60499113
#289,m2,UV,12459.78132,13.60499113
#022,m2,UV,12508.20912,13.61058762
#291,m2,UV,12522.04563,13.61218264
#289,m2,UV,12535.88215,13.6137759
#303,m2,UV,12535.88215,13.6137759
#006,m2,UV,12549.71866,13.6153674
#970,m2,UV,12556.63692,13.61616249
#974,m2,UV,12556.63692,13.61616249
#974,m2,UV,12563.55518,13.61695715
#009,m2,UV,12570.47343,13.61775137
#003,m2,UV,12639.65601,13.62566958
#289,m2,UV,12653.49252,13.62724802
#282,m2,UV,12667.32904,13.62882474
#003,m2,UV,12701.92032,13.632759
#263,m2,UV,12701.92032,13.632759
#006,m2,UV,12708.83858,13.63354457
#282,m2,UV,12715.75684,13.63432971
#022,m2,UV,12722.67509,13.63511443
#970,m2,UV,12722.67509,13.63511443
#009,m2,UV,12736.51161,13.63668257
#317,m2,UV,12743.42987,13.63746601
#131,m2,UV,12750.34812,13.63824902
#974,m2,UV,12757.26638,13.6390316
#006,m2,UV,12833.36721,13.64761213
#022,m2,UV,12840.28547,13.64838966
#317,m2,UV,12840.28547,13.64838966
#970,m2,UV,12847.20372,13.64916676
#003,m2,UV,12888.71327,13.65382062
#263,m2,UV,12916.3863,13.65691487
#003,m2,UV,12930.22281,13.65845952
#263,m2,UV,12944.05933,13.6600025
#291,m2,UV,12957.89584,13.66154385
#317,m2,UV,12978.65061,13.66385277
#282,m2,UV,12999.40538,13.66615801
#974,m2,UV,12999.40538,13.66615801
#003,m2,UV,13020.16016,13.66845957
#006,m2,UV,13027.07841,13.66922595
#009,m2,UV,13089.34273,13.67610503
#022,m2,UV,13103.17924,13.67762928
#291,m2,UV,13117.01576,13.67915191
#303,m2,UV,13137.77053,13.68143285
#003,m2,UV,13144.68879,13.68219236
#022,m2,UV,13151.60704,13.68295148
#263,m2,UV,13165.44356,13.68446851
#009,m2,UV,13172.36182,13.68522642
#282,m2,UV,13172.36182,13.68522642
#281,m2,UV,13186.19833,13.68674107
#282,m2,UV,13186.19833,13.68674107
#003,m2,UV,13193.11659,13.68749779
#003,m2,UV,13206.9531,13.68901005
#003,m2,UV,13262.29916,13.69504328
#009,m2,UV,13283.05393,13.69729926
#282,m2,UV,13289.97219,13.69805047
#263,m2,UV,13303.8087,13.69955171
#003,m2,UV,13324.56348,13.70180065
#003,m2,UV,13331.48173,13.70254952
#303,m2,UV,13331.48173,13.70254952
#006,m2,UV,13338.39999,13.703298
#003,m2,UV,13366.07302,13.70628804
#003,m2,UV,13372.99128,13.70703458
#009,m2,UV,13372.99128,13.70703458
#009,m2,UV,13379.90953,13.70778074
#022,m2,UV,13379.90953,13.70778074
#131,m2,UV,13386.82779,13.70852651
#317,m2,UV,13393.74605,13.7092719
#282,m2,UV,13421.41908,13.7122496
#263,m2,UV,13435.25559,13.71373615
#009,m2,UV,13462.92862,13.71670466
#022,m2,UV,13497.51991,13.72040672
#263,m2,UV,13497.51991,13.72040672
#131,m2,UV,13587.45725,13.72998788
#263,m2,UV,13587.45725,13.72998788
#970,m2,UV,13601.29377,13.73145627
#281,m2,UV,13615.13028,13.73292317
#291,m2,UV,13622.04854,13.73365606
#003,m2,UV,13628.96679,13.73438858
#003,m2,UV,13628.96679,13.73438858
#303,m2,UV,13628.96679,13.73438858
#009,m2,UV,13642.80331,13.7358525
#131,m2,UV,13684.31285,13.74023537
#003,m2,UV,13705.06762,13.74242183
#303,m2,UV,13711.98588,13.74314991
#263,m2,UV,13732.74065,13.74533195
#282,m2,UV,13746.57717,13.74678482
#009,m2,UV,13753.49543,13.7475107
#974,m2,UV,13788.08671,13.75113466
#281,m2,UV,13808.84148,13.75330467
#022,m2,UV,13850.35103,13.75763492
#281,m2,UV,13857.26928,13.75835537
#009,m2,UV,13864.18754,13.75907545
#282,m2,UV,13871.1058,13.75979518
#974,m2,UV,13871.1058,13.75979518
#003,m2,UV,13905.69708,13.76338845
#263,m2,UV,13919.5336,13.76482325
#009,m2,UV,13926.45186,13.76554012
#317,m2,UV,13926.45186,13.76554012
#263,m2,UV,13933.37011,13.76625663
#291,m2,UV,13933.37011,13.76625663
#003,m2,UV,13940.28837,13.76697278
#974,m2,UV,13940.28837,13.76697278
#006,m2,UV,13967.9614,13.76983386
#974,m2,UV,13967.9614,13.76983386
#003,m2,UV,13988.71617,13.77197594
#006,m2,UV,14002.55269,13.77340224
#289,m2,UV,14002.55269,13.77340224
#263,m2,UV,14030.22572,13.7762506
#022,m2,UV,14050.98049,13.77838319
#970,m2,UV,14050.98049,13.77838319
#003,m2,UV,14106.32655,13.78405472
#289,m2,UV,14127.08132,13.78617581
#303,m2,UV,14133.99957,13.78688215
#282,m2,UV,14147.83609,13.78829379
#003,m2,UV,14154.75435,13.78899909
#022,m2,UV,14161.6726,13.78970405
#009,m2,UV,14210.1004,13.79462913
#282,m2,UV,14217.01866,13.79533134
#303,m2,UV,14217.01866,13.79533134
#263,m2,UV,14237.77343,13.79743593
#022,m2,UV,14251.60995,13.79883728
#003,m2,UV,14265.44646,13.80023728
#003,m2,UV,14265.44646,13.80023728
#282,m2,UV,14272.36472,13.80093677
#131,m2,UV,14334.62903,13.80721695
#974,m2,UV,14376.13858,13.8113886
#970,m2,UV,14389.97509,13.81277647
#263,m2,UV,14396.89335,13.81346991
#289,m2,UV,14445.32115,13.81831466
#263,m2,UV,14452.23941,13.81900544
#006,m2,UV,14472.99418,13.8210758
#009,m2,UV,14479.91244,13.82176526
#974,m2,UV,14507.58547,13.82451981
#291,m2,UV,14514.50372,13.82520762
#291,m2,UV,14569.84978,13.83069838
#970,m2,UV,14569.84978,13.83069838
#282,m2,UV,14597.52281,13.83343595
#263,m2,UV,14604.44107,13.83411952
#131,m2,UV,14625.19584,13.83616832
#006,m2,UV,14652.86887,13.83889554
#009,m2,UV,14652.86887,13.83889554
#974,m2,UV,14687.46015,13.84229732
#003,m2,UV,14708.21493,13.84433454
#003,m2,UV,14728.9697,13.8463689
#003,m2,UV,14770.47924,13.85042902
#970,m2,UV,14777.3975,13.85110459
#006,m2,UV,14791.23401,13.8524548
#317,m2,UV,14811.98879,13.85447774
#009,m2,UV,14818.90704,13.85515143
#289,m2,UV,14846.58007,13.85784302
#282,m2,UV,14853.49833,13.85851514
#974,m2,UV,14860.41659,13.85918694
#003,m2,UV,14867.33484,13.85985843
#970,m2,UV,14874.2531,13.86052961
#003,m2,UV,14908.84439,13.86388082
#263,m2,UV,14908.84439,13.86388082
#281,m2,UV,14922.6809,13.86521912
#003,m2,UV,14936.51742,13.86655619
#282,m2,UV,14936.51742,13.86655619
#974,m2,UV,14964.19045,13.86922661
#006,m2,UV,14978.02696,13.87055997
#974,m2,UV,14991.86347,13.8718921
#009,m2,UV,15005.69999,13.873223
#003,m2,UV,15026.45476,13.87521705
#022,m2,UV,15026.45476,13.87521705
#289,m2,UV,15054.12779,13.8778715
#291,m2,UV,15102.55559,13.88250508
#003,m2,UV,15109.47385,13.8831658
#009,m2,UV,15150.98339,13.88712382
#291,m2,UV,15164.81991,13.88844074
#303,m2,UV,15171.73816,13.88909876
#291,m2,UV,15199.41119,13.89172782
#263,m2,UV,15227.08422,13.89435209
#009,m2,UV,15240.92074,13.89566244
#289,m2,UV,15261.67551,13.89762574
#003,m2,UV,15330.85808,13.90415083
#970,m2,UV,15330.85808,13.90415083
#022,m2,UV,15358.53111,13.90675262
#003,m2,UV,15372.36762,13.90805176
#003,m2,UV,15379.28588,13.90870089
#974,m2,UV,15386.20414,13.90934973
#131,m2,UV,15393.12239,13.90999828
#974,m2,UV,15462.30497,13.91646778
#970,m2,UV,15469.22322,13.91711313
#282,m2,UV,15476.14148,13.9177582
#317,m2,UV,15483.05974,13.91840298
#006,m2,UV,15489.978,13.91904747
#131,m2,UV,15489.978,13.91904747
#003,m2,UV,15496.89625,13.91969168
#009,m2,UV,15496.89625,13.91969168
#009,m2,UV,15503.81451,13.92033559
#003,m2,UV,15552.24231,13.92483498
#974,m2,UV,15566.07883,13.92611795
#303,m2,UV,15586.8336,13.92804026
#022,m2,UV,15593.75186,13.92868046
#003,m2,UV,15600.67011,13.92932038
#263,m2,UV,15607.58837,13.92996001
#009,m2,UV,15628.34314,13.93187722
#970,m2,UV,15669.85269,13.935704
#131,m2,UV,15676.77094,13.93634081
#282,m2,UV,15690.60746,13.93761359
#022,m2,UV,15697.52571,13.93824956
#009,m2,UV,15732.117,13.9414252
#003,m2,UV,15752.87177,13.94332724
#131,m2,UV,15766.70829,13.94459387
#131,m2,UV,15773.62654,13.94522677
#303,m2,UV,15801.29957,13.9477556
#974,m2,UV,15815.13609,13.94901835
#006,m2,UV,15822.05434,13.94964931
#289,m2,UV,15835.89086,13.95091041
#009,m2,UV,15849.72737,13.9521704
#006,m2,UV,15870.48215,13.95405834
#022,m2,UV,15870.48215,13.95405834
#003,m2,UV,15884.31866,13.95531559
#006,m2,UV,15884.31866,13.95531559
#009,m2,UV,15939.66472,13.96033366
#282,m2,UV,15981.17426,13.9640858
#006,m2,UV,16015.76555,13.96720514
#303,m2,UV,16015.76555,13.96720514
#291,m2,UV,16022.68381,13.9678282
#009,m2,UV,16029.60206,13.96845099
#009,m2,UV,16140.29418,13.97837925
#289,m2,UV,16140.29418,13.97837925
#970,m2,UV,16154.13069,13.9796155
#003,m2,UV,16161.04895,13.98023322
#970,m2,UV,16161.04895,13.98023322
#006,m2,UV,16237.14978,13.98701079
#009,m2,UV,16237.14978,13.98701079
#263,m2,UV,16237.14978,13.98701079
#022,m2,UV,16244.06804,13.98762535
#289,m2,UV,16244.06804,13.98762535
#003,m2,UV,16250.98629,13.98823966
#281,m2,UV,16257.90455,13.9888537
#009,m2,UV,16271.74107,13.99008101
#263,m2,UV,16278.65932,13.99069427
#263,m2,UV,16334.00538,13.99559099
#006,m2,UV,16389.35144,14.00047114
#022,m2,UV,16417.02447,14.00290505
#263,m2,UV,16444.6975,14.00533485
#006,m2,UV,16458.53401,14.00654822
#263,m2,UV,16458.53401,14.00654822
#022,m2,UV,16479.28878,14.00836636
#263,m2,UV,16479.28878,14.00836636
#282,m2,UV,16479.28878,14.00836636
#303,m2,UV,16486.20704,14.0089719
#303,m2,UV,16541.5531,14.01380708
#974,m2,UV,16583.06264,14.01742286
#009,m2,UV,16589.9809,14.0180246
#009,m2,UV,16659.16347,14.02402834
#131,m2,UV,16659.16347,14.02402834
#974,m2,UV,16659.16347,14.02402834
#003,m2,UV,16672.99999,14.02522609
#263,m2,UV,16686.8365,14.02642285
#282,m2,UV,16714.50953,14.0288134
#022,m2,UV,16721.42779,14.02941042
#006,m2,UV,16742.18256,14.03119999
#282,m2,UV,16769.85559,14.03358264
#009,m2,UV,16776.77385,14.03417769
#009,m2,UV,16783.6921,14.0347725
#974,m2,UV,16825.20165,14.03833617
#009,m2,UV,16887.46596,14.04366524
#263,m2,UV,16922.05725,14.04661735
#003,m2,UV,16928.97551,14.04720705
#006,m2,UV,16935.89376,14.0477965
#003,m2,UV,16956.64853,14.04956343
#970,m2,UV,16970.48505,14.05074018
#009,m2,UV,16991.23982,14.05250351
#131,m2,UV,17011.99459,14.05426468
#974,m2,UV,17011.99459,14.05426468
#009,m2,UV,17018.91285,14.05485126
#003,m2,UV,17053.50414,14.05778059
#282,m2,UV,17060.42239,14.05836575
#282,m2,UV,17067.34065,14.05895066
#006,m2,UV,17074.25891,14.05953534
#009,m2,UV,17081.17717,14.06011978
#970,m2,UV,17081.17717,14.06011978
#282,m2,UV,17088.09542,14.06070399
#281,m2,UV,17108.85019,14.06245519
#003,m2,UV,17157.278,14.06653307
#317,m2,UV,17164.19625,14.06711468
#022,m2,UV,17178.03277,14.06827721
#263,m2,UV,17191.86928,14.0694388
#006,m2,UV,17198.78754,14.07001924
#263,m2,UV,17205.7058,14.07059945
#317,m2,UV,17261.05185,14.07523276
#317,m2,UV,17267.97011,14.07581088
#003,m2,UV,17281.80663,14.07696642
#974,m2,UV,17309.47965,14.07927474
#003,m2,UV,17323.31617,14.08042751
#974,m2,UV,17323.31617,14.08042751
#970,m2,UV,17337.15268,14.08157936
#003,m2,UV,17357.90746,14.08330542
#974,m2,UV,17371.74397,14.08445497
#131,m2,UV,17434.00829,14.08961668
#282,m2,UV,17434.00829,14.08961668
#009,m2,UV,17496.2726,14.09475998
#022,m2,UV,17517.02737,14.09647035
#022,m2,UV,17565.45517,14.10045334
#006,m2,UV,17572.37343,14.10102144
#022,m2,UV,17579.29169,14.10158932
#282,m2,UV,17613.88297,14.10442537
#009,m2,UV,17620.80123,14.10499191
#281,m2,UV,17620.80123,14.10499191
#974,m2,UV,17683.06555,14.11008078
#006,m2,UV,17689.9838,14.11064511
#022,m2,UV,17717.65683,14.1129002
#289,m2,UV,17738.4116,14.11458921
#291,m2,UV,17745.32986,14.11515177
#003,m2,UV,17752.24812,14.11571412
#970,m2,UV,17759.16638,14.11627624
#263,m2,UV,17766.08463,14.11683815
#003,m2,UV,17807.59418,14.120205
#281,m2,UV,17821.43069,14.12132554
#022,m2,UV,17856.02198,14.12412309
#009,m2,UV,17904.44978,14.12803056
#022,m2,UV,17918.28629,14.12914504
#009,m2,UV,17973.63235,14.13359438
#289,m2,UV,17987.46887,14.13470457
#281,m2,UV,18008.22364,14.13636826
#003,m2,UV,18063.5697,14.1407954
#003,m2,UV,18070.48795,14.14134784
#022,m2,UV,18070.48795,14.14134784
#263,m2,UV,18084.32447,14.14245209
#006,m2,UV,18111.9975,14.14465804
#974,m2,UV,18111.9975,14.14465804
#006,m2,UV,18222.68961,14.15344829
#022,m2,UV,18319.54521,14.16109607
#003,m2,UV,18326.46347,14.16164079
#003,m2,UV,18340.29999,14.16272962
#009,m2,UV,18340.29999,14.16272962
#003,m2,UV,18354.1365,14.16381762
#303,m2,UV,18361.05476,14.16436132
#974,m2,UV,18361.05476,14.16436132
#263,m2,UV,18395.64604,14.16707672
#006,m2,UV,18444.07384,14.17086973
#974,m2,UV,18464.82862,14.17249225
#003,m2,UV,18513.25642,14.17627106
#289,m2,UV,18540.92945,14.17842595
#974,m2,UV,18554.76596,14.17950218
#131,m2,UV,18610.11202,14.18379912
#291,m2,UV,18617.03028,14.18433534
#003,m2,UV,18693.13111,14.19022062
#317,m2,UV,18748.47716,14.1944858
#009,m2,UV,18859.16928,14.20297851
#022,m2,UV,18873.00579,14.20403659
#003,m2,UV,18935.27011,14.20878838
#131,m2,UV,18949.10662,14.20984221
#003,m2,UV,18976.77965,14.21194757
#289,m2,UV,18990.61617,14.2129991
#282,m2,UV,19052.88048,14.21772151
#009,m2,UV,19087.47177,14.2203384
#003,m2,UV,19101.30828,14.22138383
#006,m2,UV,19149.73608,14.22503689
#009,m2,UV,19198.16389,14.22868072
#291,m2,UV,19225.83691,14.23075878
#289,m2,UV,19246.59169,14.23231537
#282,m2,UV,19288.10123,14.23542351
#009,m2,UV,19295.01949,14.23594088
#303,m2,UV,19295.01949,14.23594088
#263,m2,UV,19308.856,14.23697507
#974,m2,UV,19315.77426,14.23749189
#282,m2,UV,19322.69252,14.23800852
#289,m2,UV,19322.69252,14.23800852
#003,m2,UV,19343.44729,14.23955731
#317,m2,UV,19378.03857,14.24213493
#263,m2,UV,19398.79335,14.2436793
#022,m2,UV,19412.62986,14.24470796
#009,m2,UV,19433.38463,14.24624957
#131,m2,UV,19502.5672,14.25137642
#006,m2,UV,19537.15849,14.25393303
#263,m2,UV,19571.74978,14.25648512
#003,m2,UV,19592.50455,14.25801421
#003,m2,UV,19599.42281,14.25852355
#006,m2,UV,19613.25932,14.25954168
#009,m2,UV,19620.17758,14.26005048
#282,m2,UV,19640.93235,14.2615758
